"","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km."
"1","Broken Hill","570 Argent St, Broken Hill","$160,000"," 2"," 3",747.5,1126.84
"2","Coonamble","28 Broad Street, Coonamble","$150,000"," 1"," 3",371.333333333333,517.207
"3","Broken Hill","412 Lane Street, Broken Hill","$149,500"," 1"," 2",747.5,1126.84
"4","Scone","2/11 Joan Street, Scone","$189,000"," 1"," 2",191.116666666667,265.882
"5","Kooringal","25 Ziegler Avenue, Kooringal","$179,000"," 1"," 3",275,455.478
"6","Broken Hill","553 McGowen Street, Broken Hill","AUCTION"," 1"," 3",747.5,1126.84
"7","Port Macquarie","27/140 Matthew Flinders Drive, Port Macquarie","$149,000"," 2"," 2",245.05,374.344
"8","South Grafton","76 Margaret Crescent, South Grafton","$ 150,000 - $ 170,000"," 1"," 3",380.516666666667,597.104
"9","Winston Hills","38 Tennyson Street, Winston Hills","PRICE GUIDE | $1,000,000 - $1,100,000"," 3"," 4",11.8333333333333,8.122
"10","Broken Hill","569 Chapple Lane, Broken Hill","$175,000"," 1"," 3",747.5,1126.84
"11","Kelso","26 Simmons Place, Kelso","$145,000"," 1"," 3",147.9,180.4
"12","Springfield","9 Holland Close, Springfield","Under Offer"," 2"," 4",66.4333333333333,70.3
"13","Cumnock","1 Railway Parade, Cumnock","$149,000"," 1"," 3",234.65,297.163
"14","Oberon","97 North Street, Oberon","$185,000"," 1"," 2",152.283333333333,172.362
"15","Broken Hill","242 Mercury St, Broken Hill","$95,000"," 1"," 3",747.5,1126.84
"16","Broken Hill","290 Wilson St, Broken Hill","$59,000"," 1"," 3",747.5,1126.84
"17","Broken Hill","133 Harvey St, Broken Hill","$155,000"," 1"," 3",747.5,1126.84
"18","Aberdeen","72 Bedford Street, Aberdeen","$135,000"," 1"," 3",178.466666666667,251.816
"19","Lockhart","67 Hebden Street, Lockhart","$169,000"," 1"," 3",319.516666666667,519.498
"20","Pooncarie","61-63 Tarcoola Street, Pooncarie","$160,000 to $170,000"," 1"," 3",703,1137.758
"21","Broken Hill","465 Lane Lane, Broken Hill","$95,000"," 1"," 2",747.5,1126.84
"22","Coonamble","14 Coonamble Terrace, Coonamble","$99,000"," 1"," 4",371.333333333333,517.207
"23","Broken Hill","414 Mica St, Broken Hill","UNDER CONTRACT"," 1"," 2",747.5,1126.84
"24","South Grafton","79 McFarlane Street, South Grafton","AUCTION"," 1"," 3",380.516666666667,597.104
"25","Turramurra","1/404 Bobbin Head Road, Turramurra","For Sale $1,050,000"," 2"," 3",28.3,23.022
"26","Broken Hill","76 Galena Street, Broken Hill","$95,000"," 1"," 3",747.5,1126.84
"27","Coonamble","56 Comer Street, Henty","Reduced to $185,000"," 1"," 3",371.333333333333,517.207
"28","Broken Hill","113 Boughtman St, Broken Hill","$160,000"," 2"," 4",747.5,1126.84
"29","Scone","624 Williams Street, Broken Hill","$149,000"," 1"," 3",191.116666666667,265.882
"30","Kooringal","595 Fisher St, Broken Hill","$135,000"," 1"," 3",275,455.478
"31","Broken Hill","29 Henley St, Menindee","UNDER CONTRACT"," 1"," 4",747.5,1126.84
"32","Port Macquarie","33 Mate Street, Tumbarumba","$140,000"," 1"," 2",245.05,374.344
"33","South Grafton","71 Wilson Street, Broken Hill","$70,000"," 1"," 3",380.516666666667,597.104
"34","Winston Hills","660 Lane Street, Broken Hill","AUCTION ONSITE SATURDAY 15 JUNE @ 12NOON"," 1"," 3",11.8333333333333,8.122
"35","Broken Hill","77 Lord Street, East Kempsey","Awaiting Price Guide"," 1"," 3",747.5,1126.84
"36","Kelso","2/26 Comstock Street, Broken Hill","$75,000"," 1"," 2",147.9,180.4
"37","Springfield","30 South Street, Henty","Awaiting Price Guide"," 1"," 2",66.4333333333333,70.3
"38","Cumnock","10 Brooks Street, Broken Hill","AUCTION ONSITE SATURDAY 15 JUNE @11AM"," 1"," 3",234.65,297.163
"39","Oberon","31 Fitzroy Avenue, Cowra","AUCTION - Saturday 8th June 2019"," 1"," 3",152.283333333333,172.362
"40","Broken Hill","71 William Street, Muswellbrook","$145,000"," 1"," 3",747.5,1126.84
"41","Broken Hill","24 Manson Street, Pleasant Hills","$170,000"," 1"," 3",747.5,1126.84
"42","Broken Hill","33A Newcombe Street, Cowra","$155,000"," 1"," 2",747.5,1126.84
"43","Aberdeen","9 Perly Grove, Cameron Park","Guide: $790,000 - $870,000"," 3"," 6",178.466666666667,251.816
"44","Lockhart","95 Eyre Street, Broken Hill","$140,000"," 1"," 3",319.516666666667,519.498
"45","Pooncarie","22 Jerilderie St, Berrigan","VALUE AT $128,000"," 1"," 3",703,1137.758
"46","Broken Hill","136 Batlow Road, Tumbarumba","Contact Agent"," 1"," 1",747.5,1126.84
"47","Coonamble","8 Watt Street, Cowra","$89,000"," 1"," 2",371.333333333333,517.207
"48","Broken Hill","145B Gypsum Street, Broken Hill","$165,000"," 1"," 3",747.5,1126.84
"49","South Grafton","276 Patton Street, Broken Hill","$140,000"," 1"," 3",380.516666666667,597.104
"50","Turramurra","6  Beryl Lane, Broken Hill","$129,000"," 1"," 2",28.3,23.022
"51","Broken Hill","95 Duff Street, Broken Hill","$75,000"," 1"," 2",747.5,1126.84
"52","Coonamble","34 Forbes Street, Muswellbrook","$140,000"," 1"," 2",371.333333333333,517.207
"53","Broken Hill","12 Lee Street, Cowra","$175,000"," 1"," 4",747.5,1126.84
"54","Scone","Lot/174 Coreen School Road, Coreen","$125,000"," 1"," 2",191.116666666667,265.882
"55","Kooringal","144 Gaffney St, Broken Hill","UNDER CONTRACT"," 1"," 4",275,455.478
"56","Broken Hill","3 Henry Street, Barraba","Reduced to $129,500"," 1"," 3",747.5,1126.84
"57","Port Macquarie","10 Fifth Avenue, Narromine","$169,000"," 1"," 2",245.05,374.344
"58","South Grafton","469 Maher St, Deniliquin","For Sale $155,000"," 1"," 3",380.516666666667,597.104
"59","Winston Hills","10 Centre Street, Quirindi","$165,000"," 1"," 2",11.8333333333333,8.122
"60","Broken Hill","275  Oxide Street, Broken Hill","$55,000"," 1"," 2",747.5,1126.84
"61","Kelso","30 Gap Street, Parkes","$180,000"," 1"," 2",147.9,180.4
"62","Springfield","12 Station Street Charbon, Kandos","$140,000"," 1"," 3",66.4333333333333,70.3
"63","Cumnock","88 Long Street, Warialda","$139,000"," 1"," 1",234.65,297.163
