"Date","Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"17 May 2019","Aberdeen","50 Segenhoe Street, Aberdeen","$130,000"," 1"," 2",178.466666666667,251.816,"Sold"
"16 May 2019","Tenterfield","106 Cowper Street, Tenterfield","$175,000"," 1"," 2",463.85,652.177,"Sold"
"14 May 2019","Wellington","33 Short Street, Wellington","$137,000"," 1"," 3",258.633333333333,332.55,"Sold"
"14 May 2019","Nyngan","128 Cobar Street, Nyngan","$80,000"," 1"," 3",384.766666666667,538.117,"Sold"
"13 May 2019","Inverell","103 Mansfield Street, Inverell","$105,000"," 1"," 4",403.416666666667,561.941,"Sold"
"11 May 2019","Forbes","3 Thomson Street, Forbes","$112,000"," 1"," 3",275.683333333333,357.998,"Sold"
"11 May 2019","South Kempsey","20 Robert Eggins Street, South Kempsey","$70,000"," 1"," 4",268.5,412.483,"Sold"
"10 May 2019","Inverell","5 Rosslyn Street, Inverell","$175,000"," 1"," 4",403.416666666667,561.941,"Sold"
"10 May 2019","Wellington","67 Thornton Street, Wellington","$141,000"," 1"," 3",258.633333333333,332.55,"Sold"
"10 May 2019","Moree","10 Tycannah Street, Moree","$110,000"," 1"," 2",421.2,616.255,"Sold"
"10 May 2019","Warren","Address available on request, Warren","$50,000"," 1"," 2",354.566666666667,482.306,"Sold"
"09 May 2019","Inverell","55 Warialda Road, Inverell","$170,000"," 2"," 3",403.416666666667,561.941,"Sold"
"09 May 2019","Inverell","141 Brae Street, Inverell","$130,000"," 1"," 2",403.416666666667,561.941,"Sold"
"08 May 2019","Tolland","154 Raye Street, Tolland","$63,000"," 1"," 3",279.833333333333,459.669,"Sold"
"06 May 2019","Khancoban","38 Whitehead st, Khancoban","$160,000"," 1"," 3",349.75,544.906,"Sold"
"06 May 2019","Ashmont","5 Marshall Street, Ashmont","$150,000"," 1"," 3",282.116666666667,459.492,"Sold"
"05 May 2019","Peak Hill","3  Narra st, Peak Hill","$46,000"," 1"," 1",293.816666666667,389.081,"Sold"
"03 May 2019","Broken Hill","140 Bromide Street, Broken Hill","$118,000"," 1"," 2",747.5,1126.84,"Sold"
"03 May 2019","Matong","22-24 Devlin Street, Matong","$77,000"," 1"," 3",313.133333333333,493.882,"Sold"
"02 May 2019","Walcha","72E Apsley Street, Walcha","$167,000"," 2"," 3",298.033333333333,401.375,"Sold"
"02 May 2019","Guyra","8 Abercrombie Street, Guyra","$152,500"," 1"," 3",365.133333333333,501.665,"Sold"
"01 May 2019","West Wyalong","276 Neeld Street, West Wyalong","$170,000"," 1"," 3",310,489.378,"Sold"
"29 Apr 2019","Tamworth","134 Robert Street, Tamworth","$150,000"," 1"," 2",279.066666666667,395.245,"Sold"
"29 Apr 2019","Brooms Head","Address available on request, Brooms Head","$65,000"," 1"," 1",444.616666666667,665.172,"Sold"
"28 Apr 2019","Ashmont","185 Fernleigh Road, Ashmont","$115,000"," 1"," 4",282.116666666667,459.492,"Sold"
"26 Apr 2019","Muswellbrook","45 Anzac Parade, Muswellbrook","$175,000"," 1"," 3",164.583333333333,237.029,"Sold"
"24 Apr 2019","Armidale","11 Jones Avenue, Armidale","$173,000"," 1"," 3",341.633333333333,465.783,"Sold"
"22 Apr 2019","Finley","50 Coree Street, Finley","$170,000"," 1"," 3",408.616666666667,657.711,"Sold"
"18 Apr 2019","West Wyalong","32 Gladstone Street, West Wyalong","$170,000"," 1"," 3",310,489.378,"Sold"
"18 Apr 2019","Culcairn","4 Gordon Street, Culcairn","$128,000"," 1"," 3",309.683333333333,516.479,"Sold"
"17 Apr 2019","Ashford","74 Martyn Street, Ashford","$125,000"," 1"," 3",441.95,617.125,"Sold"
"15 Apr 2019","Cooma","7 Walla Street, Cooma","$146,500"," 1"," 2",244.033333333333,395.036,"Sold"
"15 Apr 2019","West Wyalong","16 Maitland Street, West Wyalong","$126,000"," 1"," 2",310,489.378,"Sold"
